frame,ms
1144,4
1145,9
1146,5
1147,6
1148,7
1149,7
1150,20
1151,5
1152,4
1153,6
1154,4
1155,5
1156,7
1157,7
1158,5
1159,8
1160,7
1161,6
1162,4
1163,5
1164,4
1165,5
1166,8
1167,5
1168,5
1169,4
1170,21
1171,6
1172,4
1173,5
1174,5
1175,5
1176,6
1177,6
1178,5
1179,5
1180,5
1181,4
1182,6
1183,5
1184,5
1185,4
1186,5
1187,6
1188,6
1189,5
1190,5
1191,4
1192,6
1193,5
1194,5
1195,7
1196,5
1197,6
1198,5
1199,4
1200,5
1201,7
1202,7
1203,5
1204,3
1205,4
1206,5
1207,4
1208,7
1209,7
1210,5
1211,6
1212,7
1213,5
1214,4
1215,4
1216,4
1217,5
1218,8
1219,6
1220,6
1221,6
1222,4
1223,6
1224,6
1225,5
1226,5
1227,5
1228,6
1229,5
1230,4
1231,5
1232,7
1233,7
1234,7
1235,5
1236,4
1237,5
1238,5
1239,6
1240,15
1241,5
1242,5
1243,6
1244,5
1245,5
1246,4
1247,4
1248,4
1249,7
1250,6
1251,4
1252,4
1253,4
1254,5
1255,7
1256,6
1257,5
1258,4
1259,5
1260,6
1261,5
1262,4
1263,6
1264,4
1265,5
1266,5
1267,4
1268,5
1269,6
1270,18
1271,6
1272,6
1273,6
1274,7
1275,7
1276,6
1277,6
1278,6
1279,6
1280,4
1281,8
1282,5
1283,5
1284,6
1285,6
1286,7
1287,5
1288,5
1289,5
1290,18
1291,7
1292,6
1293,6
1294,5
1295,6
1296,7
1297,5
1298,6
1299,6
1300,6
1301,7
1302,5
1303,6
1304,8
1305,5
1306,8
1307,8
1308,5
1309,6
1310,17
1311,4
1312,4
1313,4
1314,6
1315,5
1316,4
1317,4
1318,4
1319,4
1320,7
1321,5
1322,4
1323,5
1324,5
1325,9
1326,7
1327,7
1328,5
1329,6
1330,17
1331,4
1332,4
1333,3
1334,4
1335,4
1336,4
1337,5
1338,5
1339,3
1340,6
1341,4
1342,4
1343,4
1344,4
1345,7
1346,4
1347,5
1348,4
1349,5
1350,24
1351,8
1352,7
1353,8
1354,7
1355,6
1356,6
